Temp,Humidity,Pressure,Wind,Visibility,class
26.49,66.43,1013.95,8.34,10.06,0
24.59,73.31,1013.39,8.88,10.52,0
26.94,71.34,1014.86,11.49,8.51,0
29.57,66.42,1015.88,11.22,8.83,0
24.3,74.9,1011.34,9.96,9.59,0
24.3,77.72,1011.78,10.23,10.39,0
29.74,79.69,1015.41,12.56,6.38,0
27.3,73.57,1014.43,8.82,11.04,0
23.59,77.7,1012.95,11.09,9.03,0
26.63,73.0,1017.5,9.6,10.92,0
23.61,66.8,1013.01,9.56,11.15,0
23.6,76.26,1013.58,12.2,6.68,0
25.73,74.58,1014.24,11.65,6.82,0
19.26,93.06,1011.36,11.63,9.65,0
19.83,79.21,1010.61,12.61,7.72,0
23.31,78.19,1013.08,10.04,9.21,0
21.96,77.86,1011.01,11.36,10.19,0
25.94,68.21,1013.14,9.38,10.74,0
22.28,83.44,1011.43,10.65,10.53,0
20.76,83.0,1011.39,9.74,10.33,0
29.4,74.56,1017.07,10.19,11.87,0
24.32,71.13,1010.86,11.19,10.57,0
25.2,81.81,1013.77,8.36,11.39,0
20.73,72.26,1009.68,14.18,6.79,0
23.37,79.57,1011.87,7.99,12.66,0
25.33,85.62,1014.22,7.57,13.8,0
21.55,73.5,1011.68,12.32,6.72,0
26.13,71.04,1012.37,11.58,9.1,0
23.2,77.3,1011.56,11.25,9.81,0
24.12,73.36,1013.33,11.26,6.98,0
23.19,69.05,1011.55,9.98,8.84,0
30.56,69.79,1015.44,8.21,9.76,0
24.96,69.73,1013.03,10.15,9.58,0
21.83,80.54,1011.08,8.65,12.07,0
27.47,67.94,1016.13,11.95,9.55,0
21.34,86.41,1012.17,9.71,10.37,0
25.63,70.46,1011.23,8.35,13.28,0
19.12,79.27,1010.83,9.36,9.26,0
21.02,83.05,1010.74,10.83,7.47,0
25.59,68.26,1014.09,8.87,11.07,0
27.22,73.92,1013.09,8.36,12.03,0
25.51,81.02,1013.09,10.49,9.48,0
24.65,67.31,1013.37,10.49,7.44,0
24.1,76.83,1013.5,8.99,10.92,0
20.56,80.73,1010.03,9.06,9.64,0
22.84,81.07,1011.8,10.46,10.21,0
23.62,70.2,1011.97,7.1,13.26,0
28.17,65.23,1013.62,7.19,11.88,0
26.03,76.58,1015.18,8.56,10.92,0
19.71,81.77,1011.29,9.57,9.37,0
25.97,75.28,1012.13,10.62,9.32,0
23.84,77.89,1013.46,12.95,8.0,0
22.97,73.63,1014.31,11.72,7.3,0
26.84,74.33,1014.77,9.68,10.82,0
28.09,73.37,1012.72,9.96,9.51,0
27.79,68.63,1013.63,7.99,11.21,0
22.48,86.85,1013.26,9.96,9.93,0
24.07,78.3,1011.92,9.42,9.54,0
25.99,68.05,1013.84,10.65,8.8,0
27.93,75.36,1014.95,8.35,10.46,0
23.56,71.56,1011.5,11.04,10.93,0
24.44,79.49,1012.72,13.07,6.97,0
21.68,84.11,1008.43,9.78,9.52,0
21.41,74.49,1010.54,10.8,9.41,0
27.44,77.38,1013.72,11.38,8.51,0
29.07,73.0,1013.38,9.2,10.58,0
24.78,79.33,1014.55,10.45,10.17,0
28.01,81.47,1012.77,10.03,10.73,0
26.08,72.69,1012.99,10.2,9.27,0
23.06,73.17,1012.36,8.45,10.97,0
26.08,69.47,1014.87,10.05,9.68,0
29.61,66.31,1013.41,11.0,6.7,0
24.89,74.72,1014.12,12.9,5.58,0
29.69,72.01,1014.89,11.92,9.45,0
17.14,84.24,1008.87,14.31,7.34,0
27.47,76.67,1014.45,8.47,11.29,0
25.26,74.8,1013.3,11.74,8.83,0
24.1,83.16,1012.04,10.37,9.94,0
25.28,73.4,1013.18,14.38,8.7,0
19.04,94.56,1010.23,8.38,12.74,0
24.34,78.79,1012.85,8.32,11.55,0
26.07,69.64,1014.09,8.8,10.24,0
29.43,65.21,1016.36,5.75,12.64,0
23.45,78.97,1011.14,8.95,11.25,0
22.57,76.31,1014.16,8.48,10.76,0
23.49,80.08,1010.45,10.3,8.28,0
27.75,74.62,1013.95,10.68,8.67,0
25.99,73.65,1013.98,13.75,5.17,0
23.41,72.36,1012.65,11.9,9.79,0
26.54,65.89,1012.99,8.85,12.04,0
25.29,72.48,1012.91,8.2,11.79,0
27.91,76.38,1013.67,10.98,10.5,0
22.89,78.18,1011.57,7.36,12.72,0
24.02,69.75,1013.46,13.66,5.48,0
23.82,77.04,1012.89,12.36,9.16,0
20.61,81.32,1010.55,9.06,11.48,0
25.89,69.69,1014.25,6.57,12.39,0
25.78,74.99,1013.62,12.71,7.1,0
25.02,75.28,1013.82,9.77,9.35,0
24.3,69.99,1013.35,12.48,6.14,0
