Temp,Humidity,Pressure,Wind,Visibility,class
26.49,62.19,1013.95,7.51,9.3,0
24.59,72.05,1013.39,8.32,10.48,0
26.94,70.32,1014.86,12.24,7.77,0
29.57,64.01,1015.88,11.83,8.26,0
24.3,74.41,1011.34,9.94,9.16,0
24.3,78.93,1011.78,10.35,10.89,0
29.74,85.35,1015.41,13.83,4.03,2
27.3,74.09,1014.43,8.23,11.49,0
23.59,78.47,1012.95,11.64,8.6,1
26.63,72.78,1017.5,9.39,11.64,0
23.61,61.04,1013.01,9.35,12.08,0
23.6,76.19,1013.58,13.3,4.45,2
25.73,74.76,1014.24,12.48,4.46,0
19.26,100.0,1011.36,12.44,10.11,0
19.83,78.64,1010.61,13.92,6.75,2
23.31,79.1,1013.08,10.06,8.44,1
21.96,77.76,1011.01,12.05,11.06,0
25.94,64.71,1013.14,9.07,11.16,0
22.28,86.87,1011.43,10.97,11.39,0
20.76,85.25,1011.39,9.61,10.53,0
29.4,76.93,1017.07,10.29,13.83,0
24.32,68.4,1010.86,11.79,11.73,0
25.2,86.02,1013.77,7.55,11.96,0
20.73,68.06,1009.68,16.28,5.67,2
23.37,81.33,1011.87,6.98,14.31,0
25.33,92.19,1014.22,6.36,16.38,0
21.55,70.53,1011.68,13.47,4.6,2
26.13,69.34,1012.37,12.37,9.0,0
23.2,77.6,1011.56,11.87,10.24,0
24.12,71.85,1013.33,11.89,4.6,0
23.19,64.4,1011.55,9.96,7.67,0
30.56,69.99,1015.44,7.31,8.61,0
24.96,66.54,1013.03,10.23,9.23,0
21.83,81.96,1011.08,7.97,13.47,0
27.47,65.18,1016.13,12.93,10.08,0
21.34,91.06,1012.17,9.56,10.59,0
25.63,68.11,1011.23,7.52,15.73,0
19.12,78.3,1010.83,9.04,8.2,1
21.02,85.49,1010.74,11.24,5.35,1
25.59,64.56,1014.09,8.31,11.58,0
27.22,74.6,1013.09,7.53,13.23,0
25.51,84.94,1013.09,10.73,9.2,0
24.65,62.49,1013.37,10.73,5.13,0
24.1,77.38,1013.5,8.48,11.34,0
20.56,81.51,1010.03,8.59,8.8,1
22.84,83.41,1011.8,10.7,10.64,0
23.62,66.49,1011.97,5.66,15.08,0
28.17,61.26,1013.62,5.78,12.34,0
26.03,78.14,1015.18,7.84,11.13,0
19.71,82.66,1011.29,9.36,8.52,1
25.97,76.03,1012.13,10.93,8.94,0
23.84,78.93,1013.46,14.43,7.48,1
22.97,71.59,1014.31,12.57,5.46,0
26.84,75.02,1014.77,9.52,11.49,0
28.09,74.25,1012.72,9.94,9.0,0
27.79,66.49,1013.63,6.99,11.42,0
22.48,92.44,1013.26,9.94,9.84,1
24.07,79.72,1011.92,9.13,8.8,1
25.99,64.48,1013.84,10.97,7.92,0
27.93,77.33,1014.95,7.52,10.09,0
23.56,68.64,1011.5,11.56,12.37,0
24.44,81.85,1012.72,14.6,5.47,2
21.68,87.59,1008.43,9.67,8.93,1
21.41,72.02,1010.54,11.21,9.22,0
27.44,80.27,1013.72,12.07,7.7,0
29.07,74.23,1013.38,8.8,10.76,0
24.78,81.79,1014.55,10.67,10.56,0
28.01,87.16,1012.77,10.04,11.48,0
26.08,71.95,1012.99,10.29,8.65,0
23.06,70.91,1012.36,7.68,11.17,0
26.08,66.8,1014.87,10.07,9.38,0
29.61,63.86,1013.41,11.49,3.9,0
24.89,74.49,1014.12,14.35,2.62,2
29.69,73.04,1014.89,12.88,9.86,0
17.14,85.07,1008.87,16.46,6.83,2
27.47,79.15,1014.45,7.7,11.8,0
25.26,74.84,1013.3,12.62,8.54,0
24.1,87.53,1012.04,10.55,10.07,0
25.28,72.61,1013.18,16.57,9.59,0
19.04,100.0,1010.23,7.58,14.66,0
24.34,80.66,1012.85,7.48,12.26,0
26.07,67.07,1014.09,8.2,9.89,0
29.43,62.0,1016.36,3.63,13.16,0
23.45,80.41,1011.14,8.42,11.98,0
22.57,75.64,1014.16,7.72,10.76,0
23.49,82.22,1010.45,10.45,6.7,1
27.75,76.04,1013.95,11.03,7.68,0
25.99,73.43,1013.98,15.63,2.21,2
23.41,69.81,1012.65,12.85,10.52,0
26.54,61.34,1012.99,8.27,13.49,0
25.29,71.14,1012.91,7.3,12.68,0
27.91,78.95,1013.67,11.48,11.48,0
22.89,78.82,1011.57,6.04,14.12,0
24.02,66.02,1013.46,15.49,2.78,2
23.82,77.56,1012.89,13.54,9.51,1
20.61,82.47,1010.55,8.59,12.49,0
25.89,67.04,1014.25,4.86,13.06,0
25.78,75.45,1013.62,14.06,5.56,2
25.02,75.45,1013.82,9.66,8.59,0
24.3,66.56,1013.35,13.71,3.52,2
